post_title,post_name,ID,post_excerpt,post_content,post_status,menu_order,post_date,post_author,comment_status,sku,downloadable,virtual,stock,wholesale_price,markup_percentage,regular_price,discount_percentage,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,tax:product_type,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:yith_product_brand
S26 Gold Junior,s26-gold-junior,167,,,publish,0,8/13/2016 21:54:12,1,open,CWH77679,no,no,,19.69,20.00%,23.63,10.00%,21.27,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH77679.jpg,,simple,Baby Products > Baby Formula,,,S26
S26 Gold Newborn Stick Pack (6x17g),s26-gold-newborn-stick-pack-6x17g,168,,,publish,0,8/13/2016 21:54:12,1,open,CWH77680,no,no,,5.69,20.00%,6.83,10.00%,6.15,0.15,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH77680.jpg,,simple,Baby Products > Baby Food,,,S26
S26 Gold Progress Stick Pack (4x26g),s26-gold-progress-stick-pack-4x26g,169,,,publish,0,8/13/2016 21:54:12,1,open,CWH77681,no,no,,5.69,20.00%,6.83,10.00%,6.15,0.12,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH77681.jpg,,simple,Baby Products > Baby Food,,,S26
S26 Gold Toddler Stick Pack (4x30g),s26-gold-toddler-stick-pack-4x30g,170,,,publish,0,8/13/2016 21:54:12,1,open,CWH77682,no,no,,5.39,20.00%,6.47,10.00%,5.82,0.15,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH77682.jpg,,simple,Baby Products > Baby Food,,,S26
Blackmores Newborn Formula,blackmores-newborn-formula,171,,,publish,0,8/13/2016 21:54:12,1,open,CWH78395,no,no,,28.99,20.00%,34.79,10.00%,31.31,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH78395.jpg,,simple,Baby Products > Baby Formula,,,Blackmores
Blackmores Toddler Milk Drink,blackmores-toddler-milk-drink,172,,,publish,0,8/13/2016 21:54:12,1,open,CWH78396,no,no,,24.99,20.00%,29.99,10.00%,26.99,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH78396.jpg,,simple,Baby Products > Baby Formula,,,Blackmores
Native Macadamia & Wattleseed (37g),native-macadamia-wattleseed-37g,173,,,publish,0,8/13/2016 21:54:12,1,open,TBCNAT01,no,no,,3.52,20.00%,4.22,10.00%,3.80,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCNAT01.png,,simple,,,,The Bar Counter
Native Kakadu Plum Chocolate & Orange (37g),native-kakadu-plum-chocolate-orange-37g,174,,,publish,0,8/13/2016 21:54:12,1,open,TBCNAT02,no,no,,3.52,20.00%,4.22,10.00%,3.80,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCNAT02.png,,simple,,,,The Bar Counter
Native Lemon Myrtle (37g),native-lemon-myrtle-37g,175,,,publish,0,8/13/2016 21:54:12,1,open,TBCNAT03,no,no,,3.52,20.00%,4.22,10.00%,3.80,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCNAT03.png,,simple,,,,The Bar Counter
Organic Chocolate Brownie (37g),organic-chocolate-brownie-37g,176,,,publish,0,8/13/2016 21:54:12,1,open,TBCORG01,no,no,,3.52,20.00%,4.22,10.00%,3.80,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/TBCORG01.png,,simple,,,,The Bar Counter
